district	stationname	address	n_space	lng	lat	goodstationname
信義區	捷運市政府站(3號出口)	忠孝東路/松仁路(西南側)	180	121.5678944	25.04083889	捷運市政府站(3號出口)
信義區	捷運國父紀念館站(3號出口)	忠孝東路/光復南路(東南側)	38	121.5578	25.04108333	捷運國父紀念館站
信義區	台北市政府	台北市政府東門(松智路)	40	121.5651694	25.03779722	台北市政府
信義區	市民廣場	市府路/松壽路(西北側)	60	121.562325	25.03603611	市民廣場
信義區	興雅國中	松仁路/松仁路95巷(東南側)	60	121.5686639	25.03656389	興雅國中
信義區	世貿二館	松智路/松廉路(東北側)	60	121.5656583	25.03473611	世貿二館
信義區	信義廣場(台北101)	松智路/信義路(東北側)	80	121.5656194	25.03303889	信義廣場(台北101)
信義區	世貿三館	市府路/松壽路(東南側)	60	121.5636889	25.03521389	世貿三館
信義區	松德站	松德路300號旁	32	121.562959	25.033943	松德站
信義區	台北市災害應變中心	莊敬路391巷11弄2號 	54	121.5661167	25.02866111	台北市災害應變中心
信義區	三張犁	光復南路/基隆路一段364巷(東南側)	26	121.5575944	25.03354722	三張犁
信義區	臺北醫學大學	吳興街220巷59弄	34	121.561747	25.026679	臺北醫學大學
信義區	福德公園	大道路/福德街路口(西北側)	66	121.58367	25.03809	福德公園
中山區	榮星公園	五常街/龍江路口(西南側)	32	121.54037	25.06424	榮星花園
松山區	饒河夜市	八德路/松信路(西南側)	38	121.571885	25.049845	饒河夜市
信義區	松山家商	林口街/福德街(東南側)	48	121.579135	25.036084	松山家商
松山區	民生光復路口	光復北路/民生東路(西北側)	34	121.55514	25.05862	民生光復路口
松山區	社教館	八德路三段25號前	38	121.552278	25.048268	社教館
信義區	中強公園	松仁路153巷17號對面	30	121.56981	25.02863	中強公園
大安區	捷運科技大樓站	復興南路2段235號	54	121.543293	25.025896	捷運科技大樓站
松山區	民生敦化路口	敦化民生路口公車站旁	32	121.548982	25.057985	民生敦化路口
信義區	松山車站	松山車站西出口外自行車格內	44	121.578095	25.048616	松山車站
南港區	東新國小	東新國小側門(東明街62號前)	32	121.602798	25.055074	東新國小
大安區	信義建國	建國南路/信義路(西南側)	46	121.53747	25.03293	信義建國路口
信義區	永吉松信路口	松信路/永吉路南西側人行道	30	121.57205	25.04543	永吉松信路口
南港區	捷運昆陽站(1號出口)	捷運昆陽站1號出口外停車場旁	42	121.592375	25.050142	捷運昆陽站(1號出口)
南港區	捷運南港展覽館站(5號出口)	研究院路/市民大道路口(西南側)	26	121.61669	25.05469	捷運南港展覽館站(5號出口)
信義區	五常公園	松隆路/虎林街30巷口(西南側)	36	121.57467	25.04814	五常公園
大安區	金山愛國路口	愛國東路/金山南路(西南側)	54	121.52655	25.03164	金山愛國路口
大安區	基隆長興路口	基隆路/長興街(西南側)	40	121.544352	25.017054	基隆長興路口
大安區	辛亥新生路口	辛亥路/新生南路(高架橋下)	34	121.53456	25.022413	辛亥新生路口
大安區	捷運六張犁站	捷運出口外和平東路側	30	121.553161	25.023884	捷運六張犁站
松山區	中崙高中	八德路四段91巷(中崙高中)旁	20	121.56087	25.04878	中崙高中
中山區	捷運行天宮站(1號出口)	捷運行天宮1號出口後方(松江路側)	32	121.532934	25.058369	捷運行天宮站(1號出口)
中山區	捷運行天宮站(3號出口)	捷運行天宮站3號出口站外	30	121.533302	25.059978	捷運行天宮站(3號出口)
大安區	臺大資訊大樓	辛亥路二段(臺大外語學院外)	32	121.54153	25.02101	臺大資訊大樓
大安區	捷運東門站(5號出口)	信義路/麗水街口	22	121.529166	25.033700	捷運東門站(4號出口)
大安區	臺灣師範大學(圖書館)	和平東路/師大路口(北側)	32	121.52889	25.02665	臺灣師範大學(圖書館)
南港區	南港世貿公園	三重路/經貿二路88巷(東北側)	26	121.61422	25.058	南港世貿公園
南港區	玉成公園	玉成街247號前	32	121.58640	25.04287	玉成公園
南港區	中研公園	研究院路二段12巷/研究院路二段12巷58弄(西南側)	30	121.613706	25.047425	中研公園
信義區	捷運後山埤站(1號出口)	忠孝東路與中坡北路口(西南側)	38	121.58174	25.04431	捷運後山埤站(1號出口)
南港區	凌雲市場站	凌雲街/研究院路(東北側)	36	121.614154	25.03564	凌雲市場
南港區	捷運南港軟體園區站(2號出口)	捷運南港軟體園區站2號出口外	36	121.616187	25.05973	捷運南港軟體園區站(2號出口)
大安區	捷運公館2號	羅斯福路/辛亥路(西北側)	30	121.534538	25.01476	捷運公館站(2號出口)
南港區	南港國小	南港國小興東街出口對面停車場	44	121.611027	25.05646	南港國小
大安區	捷運忠孝新生(3號)出口	忠孝東路三段與忠孝東路三段10巷交叉口	40	121.533862	25.041924	捷運忠孝新生(3號出口)
南港區	南港車站	忠孝東路七段與忠孝東路七段415巷交叉口	38	121.608202	25.05247	南港車站
大安區	龍門廣場	敦化南路1段與敦化南路1段236巷	52	121.548252	25.040901	龍門廣場
松山區	民權運動公園	民權東路四段/新中街交叉口	52	121.560186	25.062002	民權運動公園
中山區	建國農安街口	建國北路/農安街口(中油旁邊空地)	44	121.536775	25.065031	建國農安街口
中山區	建國長春路口	建國北路/長春路口(北側)	30	121.536925	25.054761	建國長春路口
大安區	八德市場	建國南路一段/市民大道交叉口(北側)	26	121.536609	25.044781	八德市場
大安區	臺北市立圖書館(總館)	建國南路二段/建國南路二段151巷(東北側)	30	121.538073	25.028798	臺北市立圖書館(總館)
松山區	臺北田徑場	敦化北路3號	46	121.549408	25.049505	臺北田徑場
中正區	Y-17青少年育路中心	林森南路/仁愛路一段路口(東北側)	42	121.522334	25.038954	Y-17青少年育樂中心
大安區	新生和平路口	新生南路二段/和平東路二段(東北側)	46	121.53519	25.026217	新生和平路口
中正區	捷運善導寺站1號出口	天津街/忠孝東路一段(東北側)	48	121.5222	25.045267	捷運善導寺站(1號出口)
中山區	林森公園	林森北路/南京東路一段	32	121.525805	25.052227	林森公園
中山區	中山行政中心	松江路/農安街口	30	121.533487	25.064317	中山行政中心
大安區	台灣科技大學	基隆路四段/基隆路四段73巷交叉口	46	121.539723	25.0131	台灣科技大學
中正區	南昌公園	和平西路一段/南昌路	34	121.520258	25.026827	南昌公園
大安區	仁愛醫院	大安路一段/仁愛路四段	36	121.545632	25.037569	仁愛醫院
中正區	國家圖書館	中山南路/貴陽街口(西南側)	50	121.517029	25.037773	國家圖書館
萬華區	青年公園3號出口	青年路/青年路106巷(東側)	38	121.502708	25.022725	青年公園3號出口
文山區	師範大學公館校區	師大公館校區校門口(汀州路側)	42	121.537188	25.007528	師範大學公館校區
中正區	捷運臺大醫院4號出口	公園路/襄陽路(西南側)	48	121.516428	25.042973	捷運臺大醫院(4號出口)
萬華區	國興青年路口	國興路/青年路(西南側)	36	121.506536	25.025865	國興青年路口
文山區	興豐公園	興隆路二段123巷/興隆路二段(西北側)	28	121.547778	24.999837	興豐公園
信義區	捷運台北101/世貿	莊敬路/信義線五段(東南側)	52	121.561645	25.032752	捷運台北101_世貿站
大安區	捷運信義安和站	通化街/信義路四段(西南側)	30	121.554204	25.032985	捷運信義安和站
中山區	新生長安路口	新生北路一段/長安東路二段交叉口(北側)	42	121.529346	25.048611	新生長安路口
大同區	酒泉延平路口	延平北路四段/酒泉街(西北側)	32	121.510195	25.072228	酒泉延平路口
中正區	信義連雲街口	連雲街/信義路二段(東北側)	40	121.530547	25.033817	信義連雲街口
信義區	基隆光復路口	基隆路二段/光復南路(東北側)	28	121.557841	25.030055	基隆光復路口
中山區	新生長春路口	新生北路二段/新生北路二段68巷交叉口(新生橋下)	36	121.527522	25.056387	新生長春路口
松山區	民生活動中心	民生東路五段/三民路口(西北側)	32	121.56297	25.059147	民生活動中心
大同區	捷運圓山站(2號出口)	承德路三段/庫倫街(東南側)	50	121.519287	25.071824	捷運圓山站(2號出口)
大同區	捷運民權西路站(3號出口)	民權西路70巷37號對面	48	121.520205	25.061285	捷運民權西路站(3號出口)
萬華區	華江高中	東園街/東園街35巷(東北側)	44	121.495869	25.02751	華江高中
大安區	捷運台電大樓站(2號出口)	羅斯福路/辛亥路交叉口(古亭國小前)	40	121.528552	25.020547	捷運台電大樓站(2號出口)
中正區	捷運西門站(3號出口)	中華路一段/寶慶路(東南側)	60	121.508693	25.041778	捷運西門站(3號出口)
大安區	捷運大安森林公園站	信義路三段31巷/信義路三段(南側)	74	121.535161	25.033156	捷運大安森林公園站
萬華區	復華花園新城	西藏路115號/西藏路(東南側)	38	121.502899	25.029705	復華花園新城
大安區	信義敦化路口	信義路四段/敦化南路一段(東北側)	46	121.549111	25.033362	信義敦化路口
中山區	民權復興路口	復興北路/民權東路三段(東北側)	42	121.545138	25.062344	民權復興路口
大安區	捷運大安站	復興南路/信義路三段(西南側)	58	121.543057	25.033078	捷運大安站
信義區	捷運象山站	信義路五段/信義路五段91巷(西北側)	54	121.571274	25.032835	捷運象山站
中正區	和平重慶路口	重慶南路三段/和平西路一段(東北側)	40	121.516385	25.027323	和平重慶路口
萬華區	老松國小	康定路/桂林路(東南側)	44	121.501708	25.037783	老松國小
中山區	市立美術館	中山北路三段/酒泉街(西南側)	36	121.523268	25.070629	市立美術館
萬華區	開封西寧路口	開封街二段/西寧南路(東北側)	42	121.507169	25.046618	開封西寧路口
信義區	吳興公車總站	松仁路/吳興街交叉口	36	121.569836	25.023877	吳興公車總站
文山區	捷運景美站	羅斯福路六段/景中街交叉口(東北側)	52	121.541059	24.993254	捷運景美站
萬華區	東園國小	東園街/萬大路344巷(東南側)	36	121.497679	25.023393	東園國小
松山區	三民公園	撫遠街/富錦街(東南側)	30	121.566558	25.061567	三民公園
士林區	捷運劍潭站(2號出口)	基河路18號對面	52	121.524721	25.082825	捷運劍潭站(2號出口)
文山區	羅斯福景華街口	羅斯福路六段/景隆街交叉口(東南側)	48	121.540197	24.999378	羅斯福景隆街口
大同區	捷運雙連站	民生西路/萬全街(東北側)	42	121.520711	25.057866	捷運雙連站(2號出口)
中正區	金山市民路口	金山北路/市民大道三段(南側)	40	121.530697	25.045753	金山市民路口
中正區	華山文創園區	忠孝東路二段41號前	52	121.528487	25.043668	華山文創園區
中正區	臺北市客家文化主題公園	師大路/汀州路交叉口	32	121.525322	25.02043	臺北市客家文化主題公園
萬華區	萬大興寧路口	萬大路/興寧街(西南側)	52	121.500474	25.031974	萬大興寧街口
文山區	台北花木批發市場	萬盛街/興隆路一段(西北側)	38	121.54074	25.004023	台北花木批發市場
萬華區	峨嵋停車場	昆明街/西寧南路50巷(東南側)	42	121.505409	25.044412	峨嵋停車場
萬華區	西園艋舺路口	西園路二段/艋舺大道(西南側)	44	121.497674	25.032932	西園艋舺路口
中正區	捷運小南門站(1號出口)	博愛路/愛國西路交叉口(西北側)	50	121.509422	25.036402	捷運小南門站(1號出口)
大同區	臺北孔廟	哈密街59巷/哈密街(東北側)	32	121.515843	25.073306	臺北孔廟
中山區	林安泰古厝	吉林路/民族東路(北側)	46	121.530805	25.071606	林安泰古厝
內湖區	文湖國小	文湖街21巷/文湖街(東北側)	40	121.560888	25.086376	文湖國小
大安區	捷運忠孝復興站(2號出口)	復興南路一段/仁愛路三段123巷13弄(西北側)	54	121.543497	25.040184	捷運忠孝復興站(2號出口)
北投區	捷運新北投站	大業路/中和街交叉口	48	121.503124	25.137456	捷運新北投站
信義區	仁愛逸仙路口	仁愛路四段/逸仙路(西北側)	38	121.561178	25.037724	仁愛逸仙路口
士林區	蘭雅公園	忠誠路二段/忠誠路二段40巷(西南側)	30	121.530386	25.109908	蘭雅公園
中正區	臺北轉運站	中山北路一段/市民大道一段(西北側)	70	121.520526	25.048222	臺北轉運站
士林區	福林公園	志成街/中正路(南側)	44	121.530215	25.096122	福林公園
北投區	捷運北投站 	光明路2 巷/光明路交叉口	58	121.498618	25.132581	捷運北投站
北投區	大業大同街口	大業路/大同街口	36	121.499152	25.136929	大業大同街口
中山區	捷運劍南路站(2號出口)	敬業二路/植福路(東北側)	56	121.555116	25.08418	捷運劍南路站(2號出口)
萬華區	捷運龍山寺站(1號出口)	和平西路三段/和平西路三段109巷(西北側)	46	121.50026	25.035479	捷運龍山寺站(1號出口)
中山區	龍江南京路口	龍江路110號對面停車場	66	121.540568	25.05298	龍江南京路口
內湖區	捷運港墘站(2號出口)	內湖路一段/港墘路(東南側)	50	121.575458	25.079681	捷運港墘站(2號出口)
士林區	天母運動公園	忠誠路二段/忠誠路二段207巷(東南側)	44	121.534136	25.116325	天母運動公園
北投區	振華公園	振華街36號對面	36	121.518163	25.115863	振華公園
萬華區	華西公園	華西街/桂林路(東北側)	30	121.498495	25.038609	華西公園
大安區	@敦化基隆路口	敦化南路二段/基隆路二段交叉口	30	121.548336	25.022073	敦化基隆路口
內湖區	東湖國中	康樂街/康樂街125巷(東南側)	32	121.619521	25.073277	東湖國中
大安區	成功國宅	四維路198巷/和平東路三段1巷	40	121.546726	25.026808	成功國宅
內湖區	捷運文德站(2號出口)	文德路220巷/文德路(西南側)	50	121.585264	25.078292	捷運文德站(2號出口)
中正區	羅斯福寧波東街口	羅斯福路一段/寧波東街(東南側)	26	121.519411	25.031445	羅斯福寧波東街口
內湖區	洲子二號公園	瑞光路500號對面	34	121.568688	25.079322	洲子二號公園
大安區	羅斯福新生南路口	羅斯福路四段/新生南路三段交叉口	88	121.5331757	25.01603085	羅斯福新生南路口
士林區	蘭興公園 	中山北路六段/士東路(西北側)	42	121.525888	25.111839	蘭興公園
士林區	捷運芝山站(2號出口)	福華路/福華路162巷(東南側)	64	121.522629	25.10336	捷運芝山站(2號出口)
北投區	捷運石牌站(2號出口)	東華街一段/裕民二路(西側)	54	121.515677	25.114513	捷運石牌站(2號出口)
北投區	國立臺北護理健康大學	石牌路二段130巷/石牌路二段(東南側)	30	121.517512	25.118049	國立臺北護理健康大學
北投區	國防大學	中央北路二段/豐年路二段交叉口	46	121.493066	25.137976	國防大學
信義區	捷運永春站(2號出口)	忠孝東路五段420號旁(東側巷道上)	30	121.575372	25.040558	捷運永春站(2號出口)
大同區	永樂市場	民樂街/南京西路233巷(西北側)	30	121.510549	25.054501	永樂市場
大同區	捷運大橋頭站(2號出口)	民權西路/重慶北路三段(東北側)	46	121.512909	25.063404	捷運大橋頭站(2號出口)
文山區	文山行政中心	木柵路三段220號前	36	121.569984	24.989902	文山行政中心
文山區	捷運木柵站	木柵路四段82巷18號前(捷運橋樑下)	52	121.574214	24.997747	捷運木柵站
文山區	捷運動物園站(2號出口)	新光路二段28號前	72	121.578752	24.997659	捷運動物園站(2號出口)
文山區	國立政治大學	萬壽路16巷6號前	66	121.576536	24.988363	國立政治大學
大同區	樹德公園	大龍街/大龍街85巷(東北側)	40	121.516149	25.066688	樹德公園
士林區	捷運士林站(2號出口)	中正路247巷/中山北路五段505巷(東南側)	46	121.526556	25.092546	捷運士林站(2號出口)
士林區	士林運動中心	承德路四段/大南路(東北側)	32	121.521814	25.089175	士林運動中心
北投區	捷運明德站	致遠一路一段46巷/西安街一段(東南側)	68	121.518316	25.110331	捷運明德站
北投區	北投運動中心	石牌路一段39巷100號前	62	121.509621	25.116665	北投運動中心
信義區	松德公園	松德路168巷20號前	76	121.57343	25.036568	松德公園
文山區	考試院	試院路(雙號)/木柵路一段(東北側)	34	121.549827	24.987507	考試院
士林區	百齡國小	前港街100巷/前港街(北方)	40	121.519175	25.08521	百齡國小
大同區	蔣渭水紀念公園	錦西街51號對面	80	121.516299	25.059885	蔣渭水紀念公園
士林區	中正基河路口	中正路420號前	76	121.519867	25.093396	中正基河路口
內湖區	瑞光港墘路口	瑞光路/港墘路(西南側)	60	121.57505	25.076193	瑞光港墘路口
內湖區	東湖國小	東湖路/東湖路119巷(西北側)	38	121.615938	25.068409	東湖國小
大同區	捷運中山站(2號出口)	南京西路/南京西路25巷(東北側)	30	121.52029	25.053082	捷運中山站(2號出口)
北投區	大豐公園	磺港路/大興街(東北側)	56	121.503768	25.131143	大豐公園